item_id,source,environment,disposition,reason
prop:eqiv-U1-U2-conjugate,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:local-char-transposition,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mps-class-eq-mpu-class-for-conjugation,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_conjugation_standard_forms,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_conjugation_symmetry,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_continuity_index,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_index_well_defined,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_local_time_reversal,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_local_transposition,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_mps_conjugation_class,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_mps_time_reversal_class,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_sigma_blocking_parity,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_sigma_well_defined,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_u1_u2_ancilla,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_u1_u2_conjugation,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_u2_u3_conjugation,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:mpu_admissible_u2_u3_time_reversal_transposition,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:sigma-well-defined,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:sigma1-and-sigma2-equal,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:threeMPU_standard_forms,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
rem:adjoint_fp_more_general,src/chapter/ch04_channels_peripheral_spectrum_and_primitivity.tex,remark,qic,quantum-channel fixed-point theory
rem:aklt_parent_hamiltonian,src/chapter/ch15_examples_parent_hamiltonians.tex,remark,tn,tensor-network example
rem:aklt_so3_spt,src/chapter/ch15_examples_aklt.tex,remark,tn,tensor-network example
